OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,tract_string,statename,countyname,Mean_UHI_2017,Mean_TWI_2014,Carbon_Lbs_Tract,Carbon_Lbs_Acre,Index_UHI_TWI,Shape__Area,Shape__Length
207,41,051,009804,98.04,41051009804,41051009804,Oregon,Multnomah County,2.99735645022555,9.12031849318295,7684998.98695063,26773.0398450874,2.22073008744451,12503567.7460938,14320.8089852015
208,41,051,010100,101,41051010100,41051010100,Oregon,Multnomah County,0.813188344596022,8.40787391588111,37847068.3705524,29488.8758623054,0.868121149022277,55906440.8774414,34016.7855520386
209,41,051,009606,96.06,41051009606,41051009606,Oregon,Multnomah County,3.04123105678812,8.81851897821027,8556501.09639839,28385.1519726236,1.94613293401179,13130848.7246094,15199.1950332508
210,41,051,009702,97.02,41051009702,41051009702,Oregon,Multnomah County,3.38871805469466,9.20034482016611,13144259.3717659,20169.997487464,2.41762290441179,28386908.1010742,21355.8593540331
211,41,051,009801,98.01,41051009801,41051009801,Oregon,Multnomah County,2.38290077625907,9.76361865184901,10550972.4592745,16281.1830316307,2.64565483704812,28228925.5327148,21263.8301060361
212,41,051,010001,100.01,41051010001,41051010001,Oregon,Multnomah County,4.28798700301686,8.58084543098289,10773243.2061515,15142.8624431995,2.10311105825525,30990337.1660156,24139.5391250497
213,41,051,010303,103.03,41051010303,41051010303,Oregon,Multnomah County,0.73232203894129,8.07264363819782,20954799.6866605,15830.5602829609,0.523203228079071,57660053.7329102,42057.0385305173
214,41,051,010405,104.05,41051010405,41051010405,Oregon,Multnomah County,3.76165337320101,8.53303493379508,9713997.21692658,18480.3016736094,1.89541536740227,22896902.6123047,21308.0224666431
215,41,051,010409,104.09,41051010409,41051010409,Oregon,Multnomah County,-1.46804029800459,7.31499855445554,39798079.869161,27225.9480376982,-0.877541408897287,63674702.5131836,41377.4543203437
216,41,051,006404,64.04,41051006404,41051006404,Oregon,Multnomah County,-3.20708646805155,5.97464071920018,41150306.5477112,59862.3779058858,-2.69252305014773,29943801.2973633,27836.3634706357
217,41,051,009905,99.05,41051009905,41051009905,Oregon,Multnomah County,-1.27093372540708,7.36140737098003,18461830.2962077,47099.2775682673,-0.772550554991625,17074513.0756836,21678.2459119195
218,41,051,009907,99.07,41051009907,41051009907,Oregon,Multnomah County,-5.85844954225478,6.30185317862555,143096131.772189,69335.3375732126,-3.19649385867348,89900286.6704102,56528.1944134989
219,41,051,010411,104.11,41051010411,41051010411,Oregon,Multnomah County,3.58127151889566,7.87768032935358,4642284.55795221,16127.5513364088,1.21425809390607,12538660.2641602,15002.1877991149
220,41,051,006403,64.03,41051006403,41051006403,Oregon,Multnomah County,-0.966557606396994,6.28952304703152,21340698.286997,45547.9089442327,-1.7020845187146,20409294.5029297,20293.1230103429
221,41,067,031513,315.13,41067031513,41067031513,Oregon,Washington County,0.751099443013689,7.02177765174492,35537133.4475121,28300.387734907,-0.474199959253364,54698803.3188477,33583.4964873788
222,41,067,030101,301.01,41067030101,41067030101,Oregon,Washington County,-2.98417361574777,6.43817520910755,73543846.106498,53619.3813786719,-2.18138735708635,59746485.0063477,36627.9063094058
223,41,051,000100,1,41051000100,41051000100,Oregon,Multnomah County,-2.95534710839221,7.62498871926011,40184611.8195441,27711.5248984866,-1.03954812954139,63166551.996582,38138.684501628
224,41,067,030102,301.02,41067030102,41067030102,Oregon,Washington County,-2.2213299477889,6.49224888223874,45807823.233398,49369.2058753965,-1.89489285153349,40417675.2299805,35757.1406118155
225,41,067,031615,316.15,41067031615,41067031615,Oregon,Washington County,4.22356068682508,7.88582910521809,10779185.944918,20586.156349504,1.41979356641518,22808593.9594727,19284.2369760559
226,41,067,032408,324.08,41067032408,41067032408,Oregon,Washington County,2.25493562940865,7.62657004693885,26299211.2645301,33154.9657883871,0.566171806000576,34552697.7177734,26892.8355609712
227,41,067,032608,326.08,41067032608,41067032608,Oregon,Washington County,4.32099232314573,8.54623151474206,20047215.9098317,11863.9295146616,2.08022980509788,73606018.6464844,39103.2371027735
228,41,067,032610,326.1,41067032610,41067032610,Oregon,Washington County,4.53028999407267,8.96805923676012,5087549.8581341,19600.1265083612,2.54735908715853,11306745.8266602,17416.9829517786
229,41,067,031805,318.05,41067031805,41067031805,Oregon,Washington County,1.18967688272261,6.44433749988989,35641707.7950604,42984.8079658296,-0.890404697967661,36118635.515625,30855.9280755103
230,41,067,031814,318.14,41067031814,41067031814,Oregon,Washington County,0.763901555302675,6.34146671091314,20444680.164715,43234.9701079276,-1.11970119548654,20598375.6787109,20483.0816531502
231,41,067,032407,324.07,41067032407,41067032407,Oregon,Washington County,0.170820111590656,8.08493017078735,27900758.9973343,48241.451271942,0.362049682436123,25193207.8300781,25644.198056689
232,41,067,032108,321.08,41067032108,41067032108,Oregon,Washington County,-1.26751265838882,6.96018030742804,41595980.0765618,41780.362431615,-1.15451925852169,43367758.6591797,29893.9424259085
233,41,067,033301,333.01,41067033301,41067033301,Oregon,Washington County,3.76115105520719,8.1294938848833,9827792.34959032,14910.8855778911,1.51002968853565,28710473.1743164,25234.8376872071
234,41,067,031815,318.15,41067031815,41067031815,Oregon,Washington County,0.277723176897734,6.47889575594292,25573309.809209,40043.0089516834,-1.13819876557693,27819418.9326172,25679.2296815998
235,41,067,031617,316.17,41067031617,41067031617,Oregon,Washington County,4.22922822336356,7.85279793607898,14560600.0502427,21305.5579081678,1.39000612946891,29769680.6972656,27076.3451258482
236,41,067,032110,321.1,41067032110,41067032110,Oregon,Washington County,-0.983774501013601,7.3582852799834,100023203.791023,34689.4512471267,-0.687116628303326,125600436.785645,54900.2978394608
237,41,067,032109,321.09,41067032109,41067032109,Oregon,Washington County,0.503258223496252,7.04197115324454,12319930.5532196,31000.9668620217,-0.53123131908914,17310947.3398438,22262.1678395623
238,41,067,032003,320.03,41067032003,41067032003,Oregon,Washington County,3.22332900076201,8.95650406503967,16661151.5899219,13756.0361914601,2.13392387735288,52759360.7299805,35846.1969289617
239,41,067,032004,320.04,41067032004,41067032004,Oregon,Washington County,0.456163549851022,7.24406626418712,11561590.6994243,35927.5492545795,-0.352806078255275,14017734.0102539,20341.7334787778
240,41,067,032107,321.07,41067032107,41067032107,Oregon,Washington County,-1.13578666054116,7.82611176589782,51511335.58527,35070.3634109076,-0.287320524138181,63980902.4135742,48212.6945149851
241,41,067,032104,321.04,41067032104,41067032104,Oregon,Washington County,-0.258776448357677,7.73848564198239,23605223.868899,24323.0957120727,-0.100945316965214,42274365.1845703,37732.2752574774
242,41,067,032410,324.1,41067032410,41067032410,Oregon,Washington County,4.52925176835677,8.2587356615737,9063578.1586847,22447.4296103969,1.86990027324974,17588178.9501953,20872.8420784152
243,41,067,031512,315.12,41067031512,41067031512,Oregon,Washington County,2.98681788814234,7.88740920602066,11558027.1355041,20652.7604783493,1.04051733817381,24377738.7788086,21556.6346990024
244,41,067,032502,325.02,41067032502,41067032502,Oregon,Washington County,0.295105806665474,8.27785392221604,11836619.2833892,14008.4105929227,0.584486540901138,36806678.8730469,35882.1631283826
245,41,067,032501,325.01,41067032501,41067032501,Oregon,Washington County,1.3181454533056,8.69375396434744,20524889.456188,16374.8948837051,1.29650268126056,54599683.6367188,42859.6891282014
246,41,067,032409,324.09,41067032409,41067032409,Oregon,Washington County,3.53770879131307,8.12343585244063,7196052.12860694,27446.0233089579,1.43545018743871,11420962.1694336,16767.4652005613
247,41,067,032606,326.06,41067032606,41067032606,Oregon,Washington County,4.37809252355853,8.52752123512784,13569269.6628979,20899.5100127788,2.07994923502577,28281874.4086914,25435.8383636327
248,41,067,031614,316.14,41067031614,41067031614,Oregon,Washington County,4.75626246608905,8.07015132505951,7210637.3573068,20206.85962396,1.75976768821102,15543995.0786133,16860.2739911947
